                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.885,                 1.1224,                 0.9598,                0.68152,                0.56034,                0.63558,                0.27183,                 1.7733,                 1.1189,                 1.0208,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8144,                 1.0934,                0.97131,                0.70812,                0.55603,                0.62281,                0.30242,                 1.6953,                 1.0655,                 1.0151,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7421,                 1.0553,                0.96356,                0.72541,                0.51293,                0.60528,                  0.294,                 1.7105,                 1.0816,                 1.0229,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8296,                 1.0475,                0.95793,                0.69833,                0.50888,                0.59333,                 0.2806,                 1.7487,                 1.1048,                 1.0362,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7707,                 1.0517,                0.95659,                0.71524,                0.53448,                0.60811,                0.28053,                 1.7831,                 1.0849,                 1.0428,                0.00101,                0.00101,                0.00101
                     53,                 1.8328,                 1.1215,                  0.978,                0.72217,                 0.5431,                0.61813,                 0.2869,                 1.7787,                 1.0627,                 1.0468,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8017,                 1.0656,                0.95082,                0.69656,                  0.564,                0.62523,                0.28311,                 1.7546,                 1.0629,                 1.0366,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7058,                  1.024,                0.93105,                0.65685,                 0.5819,                0.61673,                0.28105,                 1.7567,                 1.0629,                 1.0358,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.6596,                 1.0219,                0.94435,                0.69184,                0.59483,                0.63112,                0.29561,                 1.7262,                 1.0584,                 1.0298,              0.0009308,              0.0009308,              0.0009308
                     57,                  1.662,                0.99413,                0.93997,                0.71657,                0.54741,                0.61011,                0.29773,                 1.7139,                 1.0719,                 1.0273,               0.000911,               0.000911,               0.000911
                     58,                 1.7788,                 1.0187,                0.94375,                0.71042,                0.56466,                0.61142,                0.29167,                 1.7214,                 1.0539,                  1.033,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6818,                0.99291,                 0.9338,                0.69987,                0.56897,                 0.6142,                0.28834,                 1.7076,                 1.0322,                 1.0229,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5995,                0.98142,                0.93646,                0.70632,                0.55172,                0.59037,                 0.2847,                 1.7032,                  1.044,                 1.0137,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6204,                0.97086,                0.92478,                0.71328,                0.56832,                0.60176,                0.28383,                 1.7026,                 1.0449,                  1.012,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7082,                0.99195,                0.95447,                 0.6734,                0.59483,                0.62136,                0.29587,                 1.6917,                 1.0393,                  1.012,               0.000812,               0.000812,               0.000812
                     63,                 1.6086,                0.98131,                0.92856,                0.68838,                 0.5819,                0.62446,                0.28538,                 1.7615,                 1.0722,                 1.0348,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.6967,                0.99591,                0.92614,                0.72346,                0.59052,                0.63772,                0.29075,                 1.7716,                 1.0667,                  1.039,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.6935,                0.96006,                0.91644,                0.73926,                0.59483,                0.66379,                0.30339,                 1.7132,                 1.0027,                 1.0257,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6263,                 0.9634,                0.91679,                0.75268,                0.57328,                0.67066,                0.31053,                  1.681,                0.98417,                 1.0108,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.6534,                0.96024,                0.93976,                0.69403,                0.59483,                0.65844,                0.31008,                 1.6929,                0.99054,                 1.0173,               0.000713,               0.000713,               0.000713
                     68,                 1.6188,                0.92858,                0.92704,                0.66452,                0.61638,                 0.6608,                0.30883,                 1.7103,                0.98152,                 1.0231,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6229,                0.95577,                0.91912,                0.64213,                0.65948,                0.66215,                0.32038,                 1.6897,                0.97655,                 1.0182,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5562,                 0.9362,                0.91788,                0.64619,                0.62979,                0.65334,                0.31907,                 1.6969,                0.97727,                 1.0275,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.6374,                0.94228,                0.91493,                0.68014,                  0.625,                0.65216,                0.31312,                 1.7273,                0.98541,                 1.0287,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6293,                0.94381,                0.95042,                0.66957,                0.62931,                0.63974,                0.31017,                 1.7311,                 0.9857,                 1.0315,               0.000614,               0.000614,               0.000614
                     73,                 1.5661,                0.90433,                0.92327,                0.66373,                0.62957,                0.63427,                 0.3089,                 1.6978,                0.97535,                 1.0283,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.612,                0.90347,                0.91564,                0.65719,                0.62931,                0.63207,                0.30969,                 1.7009,                0.96342,                 1.0314,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7144,                0.95869,                0.94562,                0.63701,                  0.625,                0.63344,                0.31467,                  1.708,                0.96582,                 1.0355,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7213,                 1.0103,                0.93432,                0.62718,                  0.625,                0.63479,                0.30824,                 1.7175,                0.97852,                  1.034,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6713,                 0.9219,                0.92386,                 0.6234,                0.61362,                0.63823,                0.30695,                 1.6924,                 0.9737,                 1.0236,               0.000515,               0.000515,               0.000515
                     78,                 1.5535,                0.90371,                0.91102,                0.72722,                0.56034,                0.64264,                 0.3085,                 1.6654,                0.97214,                 1.0139,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.6687,                0.94306,                0.89247,                0.66754,                0.60345,                0.64149,                 0.3026,                  1.664,                0.98211,                 1.0118,              0.0004754,              0.0004754,              0.0004754
                     80,                   1.54,                0.90541,                0.91471,                0.69678,                0.60345,                0.63273,                0.30176,                 1.6671,                0.97697,                 1.0146,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.6492,                0.87835,                0.91091,                0.66808,                0.61598,                0.63546,                0.30967,                 1.6721,                0.97426,                 1.0219,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.6814,                0.94648,                0.90558,                0.65304,                0.61207,                0.62846,                0.31174,                 1.6645,                0.96789,                 1.0207,               0.000416,               0.000416,               0.000416
